lat,lon,elevacao_m
-23.4268132,-47.7013283,
-23.4013094,-49.5587756,
-22.7977404,-46.5591967,
-23.4634555,-47.6847425,
-19.9235952,-50.0719674,
-20.289722,-50.3961595,
-23.4900796,-47.7209158,
-23.1929065,-48.9657342,
-23.0833336,-46.4082425,
-23.0834647,-46.4289138,
-22.7671086,-46.5791428,
-22.7554025,-46.5715619,
-22.8990671,-46.3815632,
-23.4075885,-47.6889571,
-22.6144953,-46.5247857,
-22.7976861,-46.5575704,
-21.9633585,-50.4956664,
-23.1961295,-48.9709801,
-23.4149168,-47.702366,
-23.1748677,-46.4449981,
-23.058352,-48.955528,
-22.7459791,-46.5994697,
-21.9547774,-50.4972247,
-23.1067449,-48.9667695,
-23.2248301,-47.9608999,
-22.7780523,-46.5673491,
-23.2268649,-49.114033,
-22.6311023,-46.5353291,
-23.4242105,-47.7084375,
-22.7728177,-46.585021,
-23.0805504,-46.4156185,
-23.4591957,-47.7333104,
-23.0555102,-46.3874298,
-22.748109,-46.5920989,
-21.9498596,-50.5090219,
-23.081938,-46.4095216,
-20.0347579,-50.7210344,
-23.5743019,-47.8871484,
-22.7398375,-46.5975826,
-21.9562861,-50.4925097,
-23.3897761,-49.5004238,
-22.7986557,-46.4414129,
-22.6273976,-46.5366323,
-21.7913709,-50.7966318,
-23.3995266,-49.3432127,
-23.2035713,-48.9824128,
-23.4868032,-47.725641,
-23.0793975,-46.4081838,
-22.5597061,-46.5337049,
-22.7811462,-46.5664685,
-22.7602048,-46.6381103,
-23.4698542,-47.6862967,
-23.0579497,-46.3722768,
-21.9462134,-50.5267329,
-22.569692,-46.5205807,
-23.0896951,-46.4126788,
-22.5728868,-46.5334904,
-22.7375625,-46.5982329,
-23.4272473,-47.7145265,
-23.0565675,-48.9515795,
-23.2216721,-49.094572,
-22.9389303,-46.4412086,
-23.4864782,-47.7247824,
-22.7677744,-46.5812753,
-23.0809161,-46.4189451,
-22.6162769,-46.529169,
-23.0580399,-48.9578511,
-22.8418501,-49.2352833,
-22.7622887,-46.5679982,
-23.1975274,-47.9745182,
-23.2225979,-48.968414,
-23.1799614,-49.0063779,
-19.9434233,-50.5279793,
